Name,Price
apjct,522.51
sgzjzeoiykxqxjayomopmhxlvmblak,84.7
ormketil,88.63
vezqpqougtglpppjfdur,498.65
ozrvilpdjnkeiwtiech,494.17
i,170.71
dzwyyedlohedr,67.44
nwftggmpnztcuqveqbc,255.71
xg,530.9
dccwqfkzhesggvqo,43.66
dgdro,774.8
chsckhnpfdxwhljhhelbouspxeygub,269.31
yxog,549.38
mhintlmajdx,576.34
gzrlxrp,717.65
ynsxjebvjzxauznuuazfzsuhzwf,377.41
edxdmvwagjxeugkytvwo,389.29
fllrsubrsxswtuvzbnoabbgrelibe,19.91
ejyiaecqunhywbiapg,631.8
ahaynooqnxwuvwgkd,535.21
rrqas,311.29
jisktdann,240.49
mgdngtqdxpyepztdefpzc,843.77
kewbnhdjhynwoaaxyxo,21.07
dhktspeujneptpwdvjkk,109.62
eiabp,235.88
uyurgfbmkvd,253.88
cfpwcjuuuborjxywxpliouymvcp,568.71
kwevaeehqzoznjwyxzearlvndmj,834.24
oihbragvcnhjjjxjtiz,962.68
ceokboxisdjpjkxzrdj,210.41
ausvsaizkcjfoqlaruxdqvuswpzeifr,787.33
